F1,F2,type
16795,16796,VST3
17029,17270,VST3
17029,17656,VST3
17049,17174,VST3
17251,17252,VST3
17255,17256,VST3
17270,17656,VST3
17600,17648,VST3
17667,17668,VST3
17776,17777,VST3
17944,17945,VST3
18038,18039,VST3
18146,18147,VST3
18219,18220,VST3
18291,18292,VST3
18358,18359,VST3
18394,18395,VST3
18396,18397,VST3
18433,18434,VST3
18440,18441,VST3
18460,18461,VST3
18477,18478,VST3
18483,18484,VST3
18489,18490,VST3
18522,18524,VST3
18544,18551,VST3
18571,18572,VST3
18624,18625,VST3
18629,18630,VST3
18653,18654,VST3
18685,18686,VST3
18708,18709,VST3
18712,18713,VST3
18745,18749,VST3
18781,18782,VST3
18804,18805,VST3
18813,18815,VST3
18835,18840,VST3
18856,18857,VST3
18868,18869,VST3
18910,18911,VST3
18920,18921,VST3
18945,18946,VST3
18996,18997,VST3
19006,19007,VST3
19030,19031,VST3
19062,19063,VST3
19110,19111,VST3
19141,19142,VST3
19160,19161,VST3
19181,19182,VST3
19185,19186,VST3
19193,19194,VST3
19195,19196,VST3
19203,19204,VST3
19221,19222,VST3
19299,19300,VST3
19311,19312,VST3
19334,19335,VST3
19357,19358,VST3
19362,19364,VST3
19566,19567,VST3
19601,19602,VST3
19626,19628,VST3
19687,19688,VST3
19690,19691,VST3
19709,19710,VST3
19711,19712,VST3
19733,19734,VST3
19752,19753,VST3
19766,19767,VST3
19872,19873,VST3
19912,19914,VST3
20075,20076,VST3
20089,20090,VST3
20095,20096,VST3
20136,20137,VST3
20207,20208,VST3
20220,20221,VST3
20256,20257,VST3
20262,20263,VST3
20265,20266,VST3
20303,20304,VST3
20326,20327,VST3
20345,20346,VST3
20417,20418,VST3
20427,20428,VST3
20452,20453,VST3
20497,20498,VST3
20538,20539,VST3
20620,20621,VST3
20622,20623,VST3
20624,20625,VST3
20639,20640,VST3
20661,20662,VST3
20681,20682,VST3
20711,20712,VST3
20732,20733,VST3
20734,20735,VST3
20737,20738,VST3
20752,20753,VST3
20770,20771,VST3
20850,20851,VST3
20875,20876,VST3
20892,20893,VST3
20895,20896,VST3
20899,20900,VST3
20988,20989,VST3
20996,20997,VST3
21024,21025,VST3
21037,21038,VST3
21105,21106,VST3
21113,21114,VST3
21126,21127,VST3
21157,21158,VST3
21161,21162,VST3
